id,user_id,date,aura_points,positive_evaluations,negative_evaluations,cumulative_aura_points,created_at
d4824b38-0e34-4e7f-b9a0-13a2a2049b0d,6a1dde8e-688e-4e0f-89a3-bb67cf0b1d48,2023-01-01,10,1,0,45,2023-01-01 00:00:00
e99f6a2d-9a5a-4c98-b09b-653b7f34e95f,6a1dde8e-688e-4e0f-89a3-bb67cf0b1d48,2023-01-02,10,1,0,55,2023-01-02 00:00:00
30f86c3a-d85c-4d95-b1fd-37793895a8da,6a1dde8e-688e-4e0f-89a3-bb67cf0b1d48,2023-01-03,10,1,0,65,2023-01-03 00:00:00
fbdbb4c9-1e71-4ec1-8787-bbc4a086f44c,a7f1bb32-5bfa-4f87-b995-8b43fa545a35,2023-01-01,15,1,0,65,2023-01-01 00:00:00
d3be02b1-c5da-4446-b5bc-fbd32941b62a,a7f1bb32-5bfa-4f87-b995-8b43fa545a35,2023-01-02,15,1,0,80,2023-01-02 00:00:00
35fa6e96-7198-4db4-8891-232251407567,a7f1bb32-5bfa-4f87-b995-8b43fa545a35,2023-01-03,15,1,0,95,2023-01-03 00:00:00
b8c7fc7d-3a1e-4f42-bc5d-993226495fa6,d2fbe524-3f5a-4f30-91e4-2f7a8e93c4d2,2023-01-01,8,1,0,85,2023-01-01 00:00:00
d45e48c8-d6c4-43a2-a964-1a0d75e104b1,d2fbe524-3f5a-4f30-91e4-2f7a8e93c4d2,2023-01-02,8,1,0,93,2023-01-02 00:00:00
fad7c9bb-934f-474d-91a4-c73b75cf3e8d,d2fbe524-3f5a-4f30-91e4-2f7a8e93c4d2,2023-01-03,8,1,0,101,2023-01-03 00:00:00
e2602ae5-15c4-4071-bfed-5c7fa9b84322,1a6d5ebd-08cf-4f8b-835e-dc0e7c5b3f4d,2023-01-01,-5,0,1,40,2023-01-01 00:00:00
11c20444-5a44-4ae4-9d72-9c3d03e2bd11,1a6d5ebd-08cf-4f8b-835e-dc0e7c5b3f4d,2023-01-02,-5,0,1,35,2023-01-02 00:00:00
13f1cbf9-2f3d-4eae-9610-71b1e22784b8,1a6d5ebd-08cf-4f8b-835e-dc0e7c5b3f4d,2023-01-03,-5,0,1,30,2023-01-03 00:00:00
9a18fb9f-2d59-4b73-b7a1-bf68d2b93d84,b4c39ef6-e99c-4fc3-bd4e-1b7a5e6c5179,2023-01-01,12,1,0,55,2023-01-01 00:00:00
75adf74b-1098-46e3-9d4b-4d45f9b1c015,b4c39ef6-e99c-4fc3-bd4e-1b7a5e6c5179,2023-01-02,12,1,0,67,2023-01-02 00:00:00
c2e12d1f-b739-4ec2-bdb7-77a1b5c50d2b,b4c39ef6-e99c-4fc3-bd4e-1b7a5e6c5179,2023-01-03,12,1,0,79,2023-01-03 00:00:00
